[2022-10-30 00:43:22,553] org.apache.http.impl.execchain.MainClientExec execute 256 - Executing request POST /session/ad4836afe986d930b02f6451ba06e0ba/window/maximize HTTP/1.1
[2022-10-30 00:43:22,553] org.apache.http.impl.execchain.MainClientExec execute 261 - Target auth state: UNCHALLENGED
[2022-10-30 00:43:22,554] org.apache.http.impl.execchain.MainClientExec execute 267 - Proxy auth state: UNCHALLENGED
[2022-10-30 00:43:22,554] org.apache.http.impl.conn.LoggingManagedHttpClientConnection onRequestSubmitted 133 - http-outgoing-0 >> POST /session/ad4836afe986d930b02f6451ba06e0ba/window/maximize HTTP/1.1
[2022-10-30 00:43:22,554] org.apache.http.impl.conn.LoggingManagedHttpClientConnection onRequestSubmitted 136 - http-outgoing-0 >> Content-Type: application/json; charset=utf-8
[2022-10-30 00:43:22,554] org.apache.http.impl.conn.LoggingManagedHttpClientConnection onRequestSubmitted 136 - http-outgoing-0 >> Content-Length: 2
[2022-10-30 00:43:22,554] org.apache.http.impl.conn.LoggingManagedHttpClientConnection onRequestSubmitted 136 - http-outgoing-0 >> Host: localhost:40695
[2022-10-30 00:43:22,554] org.apache.http.impl.conn.LoggingManagedHttpClientConnection onRequestSubmitted 136 - http-outgoing-0 >> Connection: Keep-Alive
[2022-10-30 00:43:22,554] org.apache.http.impl.conn.LoggingManagedHttpClientConnection onRequestSubmitted 136 - http-outgoing-0 >> User-Agent: Apache-HttpClient/4.5.3 (Java/13.0.2)
[2022-10-30 00:43:22,554] org.apache.http.impl.conn.LoggingManagedHttpClientConnection onRequestSubmitted 136 - http-outgoing-0 >> Accept-Encoding: gzip,deflate
[2022-10-30 00:43:22,554] org.apache.http.impl.conn.Wire wire 73 - http-outgoing-0 >> "POST /session/ad4836afe986d930b02f6451ba06e0ba/window/maximize HTTP/1.1[\r][\n]"
[2022-10-30 00:43:22,555] org.apache.http.impl.conn.Wire wire 73 - http-outgoing-0 >> "Content-Type: application/json; charset=utf-8[\r][\n]"
[2022-10-30 00:43:22,555] org.apache.http.impl.conn.Wire wire 73 - http-outgoing-0 >> "Content-Length: 2[\r][\n]"
[2022-10-30 00:43:22,555] org.apache.http.impl.conn.Wire wire 73 - http-outgoing-0 >> "Host: localhost:40695[\r][\n]"
[2022-10-30 00:43:22,555] org.apache.http.impl.conn.Wire wire 73 - http-outgoing-0 >> "Connection: Keep-Alive[\r][\n]"
[2022-10-30 00:43:22,555] org.apache.http.impl.conn.Wire wire 73 - http-outgoing-0 >> "User-Agent: Apache-HttpClient/4.5.3 (Java/13.0.2)[\r][\n]"
[2022-10-30 00:43:22,555] org.apache.http.impl.conn.Wire wire 73 - http-outgoing-0 >> "Accept-Encoding: gzip,deflate[\r][\n]"
[2022-10-30 00:43:22,555] org.apache.http.impl.conn.Wire wire 73 - http-outgoing-0 >> "[\r][\n]"
[2022-10-30 00:43:22,555] org.apache.http.impl.conn.Wire wire 87 - http-outgoing-0 >> "{}"
[2022-10-30 00:43:22,704] org.apache.http.impl.conn.Wire wire 73 - http-outgoing-0 << "HTTP/1.1 200 OK[\r][\n]"
[2022-10-30 00:43:22,705] org.apache.http.impl.conn.Wire wire 73 - http-outgoing-0 << "Content-Length:51[\r][\n]"
[2022-10-30 00:43:22,705] org.apache.http.impl.conn.Wire wire 73 - http-outgoing-0 << "Content-Type:application/json; charset=utf-8[\r][\n]"
[2022-10-30 00:43:22,705] org.apache.http.impl.conn.Wire wire 73 - http-outgoing-0 << "cache-control:no-cache[\r][\n]"
[2022-10-30 00:43:22,705] org.apache.http.impl.conn.Wire wire 73 - http-outgoing-0 << "[\r][\n]"
[2022-10-30 00:43:22,705] org.apache.http.impl.conn.Wire wire 87 - http-outgoing-0 << "{"value":{"height":696,"width":1296,"x":-8,"y":-8}}"
[2022-10-30 00:43:22,706] org.apache.http.impl.conn.LoggingManagedHttpClientConnection onResponseReceived 122 - http-outgoing-0 << HTTP/1.1 200 OK
